,GitHub Name,Smogon Name,PMD Reference,,Pts.,Spr.,D.Spr.,Pokémon,Types,,HP,Atk,Def,SpA,SpD,Spe,0,252,252+,,Sprite
,raging-bolt,ragingbolt,1021,,,,,Raging Bolt,Electric,Dragon,125,73,91,137,89,75,186,249,273,,
,iron-boulder,ironboulder,1022,,,,,Iron Boulder,Rock,Psychic,90,120,80,68,108,124,284,347,381,,
,iron-crown,ironcrown,1023,,,,,Iron Crown,Steel,Psychic,90,72,100,122,108,98,232,295,324,,
,terapagos,terapagos,1024,,,,,Terapagos,Normal,,90,65,85,65,85,60,156,219,240,,
,terapagos-terastal,terapagos-terastal,1024/0001,,,,,Terapagos-Terastal,Normal,,95,95,110,105,105,85,206,269,295,,
,terapagos-stellar,terapagos-stellar,1024/0002,,,,,Terapagos-Stellar,Normal,,160,105,110,130,110,85,206,269,295,,
,pecharunt,pecharunt,1025,,,,,Pecharunt,Poison,Ghost,88,88,160,88,88,88,212,275,302,,
,bulbasaur,bulbasaur,1,,1,,,Bulbasaur (Z),Grass,Poison,45,49,49,65,65,45,126,189,207,,
,ivysaur,ivysaur,2,,1,,,Ivysaur (Z),Grass,Poison,60,62,63,80,80,60,156,219,240,,
,venusaur,venusaur,3,,7,,,Venusaur (Z),Grass,Poison,80,82,83,100,100,80,196,259,284,,
,venusaur-mega,venusaur-mega,0003/0001,,14,,,Mega Venusaur (Z),Grass,Poison,80,100,123,122,120,80,196,259,284,,
,charmander,charmander,4,,1,,,Charmander (Z),Fire,-,39,52,43,60,50,65,166,229,251,,
,charmeleon,charmeleon,5,,1,,,Charmeleon (Z),Fire,-,58,64,58,80,65,80,196,259,284,,
,charizard,charizard,6,,2,,,Charizard (Z),Fire,Flying,78,84,78,109,85,100,236,299,328,,
,charizard-mega-x,charizard-megax,0006/0001,,17,,,Mega Charizard X (Z),Fire,Dragon,78,130,111,130,85,100,236,299,328,,
,charizard-mega-y,charizard-megay,0006/0002,,14,,,Mega Charizard Y (Z),Fire,Flying,78,104,78,159,115,100,236,299,328,,
,squirtle,squirtle,7,,1,,,Squirtle (Z),Water,-,44,48,65,50,64,43,122,185,203,,
,wartortle,wartortle,8,,1,,,Wartortle (Z),Water,-,59,63,80,65,80,58,152,215,236,,
,blastoise,blastoise,9,,8,,,Blastoise (Z),Water,-,79,83,100,85,105,78,192,255,280,,
,blastoise-mega,blastoise-mega,0009/0001,,12,,,Mega Blastoise (Z),Water,-,79,103,120,135,115,78,192,255,280,,
,caterpie,caterpie,10,,1,,,Caterpie (Z),Bug,-,45,30,35,20,20,45,126,189,207,,
,metapod,metapod,11,,1,,,Metapod (Z),Bug,-,50,20,55,25,25,30,96,159,174,,
,butterfree,butterfree,12,,1,,,Butterfree (Z),Bug,Flying,60,45,50,90,80,70,176,239,262,,
,weedle,weedle,13,,1,,,Weedle (Z),Bug,Poison,40,35,30,20,20,50,136,199,218,,
,kakuna,kakuna,14,,1,,,Kakuna (Z),Bug,Poison,45,25,50,25,25,35,106,169,185,,
,beedrill,beedrill,15,,1,,,Beedrill (Z),Bug,Poison,65,90,40,45,80,75,186,249,273,,
,beedrill-mega,beedrill-mega,0015/0001,,8,,,Mega Beedrill (Z),Bug,Poison,65,150,40,15,80,145,326,389,427,,
,pidgey,pidgey,16,,1,,,Pidgey (Z),Normal,Flying,40,45,40,35,35,56,148,211,232,,
,pidgeotto,pidgeotto,17,,1,,,Pidgeotto (Z),Normal,Flying,63,60,55,50,50,71,178,241,265,,
,pidgeot,pidgeot,18,,1,,,Pidgeot (Z),Normal,Flying,83,80,75,70,70,101,238,301,331,,
,pidgeot-mega,pidgeot-mega,0018/0001,,13,,,Mega Pidgeot (Z),Normal,Flying,83,80,80,135,80,121,278,341,375,,
,rattata,rattata,19,,1,,,Rattata (Z),Normal,-,30,56,35,25,35,72,180,243,267,,
,rattata-alola,rattata-alola,0019/0001,,1,,,Alolan Rattata (Z),Dark,Normal,30,56,35,25,35,72,180,243,267,,
,raticate,raticate,20,,1,,,Raticate (Z),Normal,-,55,81,60,50,70,97,230,293,322,,
,raticate-alola,raticate-alola,0020/0001,,1,,,Alolan Raticate (Z),Dark,Normal,75,71,70,40,80,77,190,253,278,,
,spearow,spearow,21,,1,,,Spearow (Z),Normal,Flying,40,60,30,31,31,70,176,239,262,,
,fearow,fearow,22,,1,,,Fearow (Z),Normal,Flying,65,90,65,61,61,100,236,299,328,,
,ekans,ekans,23,,1,,,Ekans (Z),Poison,-,35,60,44,40,54,55,146,209,229,,
,arbok,arbok,24,,1,,,Arbok (Z),Poison,-,60,95,69,65,79,80,196,259,284,,
,pikachu,pikachu,25,,1,,,Pikachu (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-cosplay,pikachu,25,,0,,,Pikachu-Cosplay (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-rock-star,pikachu-rockstar,0025/0002,,0,,,Pikachu-Rock-Star (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-belle,pikachu-belle,0025/0003,,0,,,Pikachu-Belle (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-pop-star,pikachu-popstar,0025/0004,,0,,,Pikachu-Pop-Star (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-phd,pikachu-phd,0025/0005,,0,,,Pikachu-PhD (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-libre,pikachu-libre,0025/0006,,0,,,Pikachu-Libre (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-original-cap,pikachu-original,0025/0008,,0,,,Pikachu-Original (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-hoenn-cap,pikachu-hoenn,0025/0009,,0,,,Pikachu-Hoenn (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-sinnoh-cap,pikachu-sinnoh,0025/0010,,0,,,Pikachu-Sinnoh (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-unova-cap,pikachu-unova,0025/0011,,0,,,Pikachu-Unova (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-kalos-cap,pikachu-kalos,0025/0012,,0,,,Pikachu-Kalos (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-alola-cap,pikachu-alola,0025/0013,,0,,,Pikachu-Alola (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-partner-cap,pikachu-partner,0025/0014,,0,,,Pikachu-Partner (Z),Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-starter,pikachu-starter,25,,0,,,Pikachu-Starter (Z),Electric,-,45,80,50,75,60,120,276,339,372,,
,raichu,raichu,26,,2,,,Raichu (Z),Electric,-,60,90,55,90,80,110,256,319,350,,
,raichu-alola,raichu-alola,0026/0001,,5,,,Alolan Raichu (Z),Electric,Psychic,60,85,50,95,85,110,256,319,350,,
,sandshrew,sandshrew,27,,1,,,Sandshrew (Z),Ground,-,50,75,85,20,30,40,116,179,196,,
,sandshrew-alola,sandshrew-alola,0027/0001,,1,,,Alolan Sandshrew (Z),Ice,Steel,50,75,90,10,35,40,116,179,196,,
,sandslash,sandslash,28,,2,,,Sandslash (Z),Ground,-,75,100,110,45,55,65,166,229,251,,
,sandslash-alola,sandslash-alola,0028/0001,,2,,,Alolan Sandslash (Z),Ice,Steel,75,100,120,25,65,65,166,229,251,,
,nidoran-f,nidoranf,29,,1,,,Nidoran-Female (Z),Poison,-,55,47,52,40,40,41,118,181,199,,
,nidorina,nidorina,30,,1,,,Nidorina (Z),Poison,-,70,62,67,55,55,56,148,211,232,,
,nidoqueen,nidoqueen,31,,13,,,Nidoqueen (Z),Poison,Ground,90,92,87,75,85,76,188,251,276,,
,nidoran-m,nidoranm,32,,1,,,Nidoran-Male (Z),Poison,-,46,57,40,40,40,50,136,199,218,,
,nidorino,nidorino,33,,1,,,Nidorino (Z),Poison,-,61,72,57,55,55,65,166,229,251,,
,nidoking,nidoking,34,,14,,,Nidoking (Z),Poison,Ground,81,102,77,85,75,85,206,269,295,,
,clefairy,clefairy,35,,4,,,Clefairy (Z),Fairy,-,70,45,48,60,65,35,106,169,185,,
,clefable,clefable,36,,16,,,Clefable (Z),Fairy,-,95,70,73,95,90,60,156,219,240,,
,vulpix,vulpix,37,,1,,,Vulpix (Z),Fire,-,38,41,40,50,65,65,166,229,251,,
,vulpix-alola,vulpix-alola,0037/0001,,1,,,Alolan Vulpix (Z),Ice,-,38,41,40,50,65,65,166,229,251,,
,ninetales,ninetales,38,,3,,,Ninetales (Z),Fire,-,73,76,75,81,100,100,236,299,328,,
,ninetales-alola,ninetales-alola,0038/0001,,14,,,Alolan Ninetales (Z),Ice,Fairy,73,67,75,81,100,109,254,317,348,,
,jigglypuff,jigglypuff,39,,1,,,Jigglypuff (Z),Normal,Fairy,115,45,20,45,25,20,76,139,152,,
,wigglytuff,wigglytuff,40,,1,,,Wigglytuff (Z),Normal,Fairy,140,70,45,85,50,45,126,189,207,,
,zubat,zubat,41,,1,,,Zubat (Z),Poison,Flying,40,45,35,30,40,55,146,209,229,,
,golbat,golbat,42,,2,,,Golbat (Z),Poison,Flying,75,80,70,65,75,90,216,279,306,,
,oddish,oddish,43,,1,,,Oddish (Z),Grass,Poison,45,50,55,75,65,30,96,159,174,,
,gloom,gloom,44,,1,,,Gloom (Z),Grass,Poison,60,65,70,85,75,40,116,179,196,,
,vileplume,vileplume,45,,4,,,Vileplume (Z),Grass,Poison,75,80,85,110,90,50,136,199,218,,
,paras,paras,46,,1,,,Paras (Z),Bug,Grass,35,70,55,45,55,25,86,149,163,,
,parasect,parasect,47,,1,,,Parasect (Z),Bug,Grass,60,95,80,60,80,30,96,159,174,,
,venonat,venonat,48,,1,,,Venonat (Z),Bug,Poison,60,55,50,40,55,45,126,189,207,,
,venomoth,venomoth,49,,3,,,Venomoth (Z),Bug,Poison,70,65,60,90,75,90,216,279,306,,
,diglett,diglett,50,,1,,,Diglett (Z),Ground,-,10,55,25,35,45,95,226,289,317,,
,diglett-alola,diglett-alola,0050/0001,,1,,,Alolan Diglett (Z),Ground,Steel,10,55,30,35,45,90,216,279,306,,
,dugtrio,dugtrio,51,,8,,,Dugtrio (Z),Ground,-,35,100,50,50,70,120,276,339,372,,
,dugtrio-alola,dugtrio-alola,0051/0001,,1,,,Alolan Dugtrio (Z),Ground,Steel,35,100,60,50,70,110,256,319,350,,
,meowth,meowth,52,,1,,,Meowth (Z),Normal,-,40,45,35,40,40,90,216,279,306,,
,meowth-alola,meowth-alola,0052/0001,,1,,,Alolan Meowth (Z),Dark,-,40,35,35,50,40,90,216,279,306,,
,meowth-galar,meowth-galar,0052/0002,,0,,,Galarian Meowth (Z),Steel,-,50,65,55,40,40,40,116,179,196,,
,persian,persian,53,,1,,,Persian (Z),Normal,-,65,70,60,65,65,115,266,329,361,,
,persian-alola,persian-alola,0053/0001,,4,,,Alolan Persian (Z),Dark,-,65,60,60,75,65,115,266,329,361,,
,psyduck,psyduck,54,,1,,,Psyduck (Z),Water,-,50,52,48,65,50,55,146,209,229,,
,golduck,golduck,55,,1,,,Golduck (Z),Water,-,80,82,78,95,80,85,206,269,295,,
,mankey,mankey,56,,1,,,Mankey (Z),Fighting,-,40,80,35,35,45,70,176,239,262,,
,primeape,primeape,57,,2,,,Primeape (Z),Fighting,-,65,105,60,60,70,95,226,289,317,,
,growlithe,growlithe,58,,1,,,Growlithe (Z),Fire,-,55,70,45,70,50,60,156,219,240,,
,growlithe-hisui,growlithe-hisui,0058/0001,,0,,,Hisuian Growlithe (Z),Fire,Rock,60,75,45,65,50,55,146,209,229,,
,arcanine,arcanine,59,,12,,,Arcanine (Z),Fire,-,90,110,80,100,80,95,226,289,317,,
,arcanine-hisui,arcanine-hisui,0059/0001,,0,,,Hisuian Arcanine (Z),Fire,Rock,95,115,80,95,80,90,216,279,306,,
,poliwag,poliwag,60,,1,,,Poliwag (Z),Water,-,40,50,40,40,40,90,216,279,306,,
,poliwhirl,poliwhirl,61,,1,,,Poliwhirl (Z),Water,-,65,65,65,50,50,90,216,279,306,,
,poliwrath,poliwrath,62,,3,,,Poliwrath (Z),Water,Fighting,90,95,95,70,90,70,176,239,262,,
,abra,abra,63,,1,,,Abra (Z),Psychic,-,25,20,15,105,55,90,216,279,306,,
,kadabra,kadabra,64,,1,,,Kadabra (Z),Psychic,-,40,35,30,120,70,105,246,309,339,,
,alakazam,alakazam,65,,8,,,Alakazam (Z),Psychic,-,55,50,45,135,95,120,276,339,372,,
,alakazam-mega,alakazam-mega,0065/0001,,99,,,Mega Alakazam (Z),Psychic,-,55,50,65,175,105,150,336,399,438,,
,machop,machop,66,,1,,,Machop (Z),Fighting,-,70,80,50,35,35,35,106,169,185,,
,machoke,machoke,67,,1,,,Machoke (Z),Fighting,-,80,100,70,50,60,45,126,189,207,,
,machamp,machamp,68,,3,,,Machamp (Z),Fighting,-,90,130,80,65,85,55,146,209,229,,
,bellsprout,bellsprout,69,,1,,,Bellsprout (Z),Grass,Poison,50,75,35,70,30,40,116,179,196,,
,weepinbell,weepinbell,70,,1,,,Weepinbell (Z),Grass,Poison,65,90,50,85,45,55,146,209,229,,
,victreebel,victreebel,71,,2,,,Victreebel (Z),Grass,Poison,80,105,65,100,70,70,176,239,262,,
,tentacool,tentacool,72,,1,,,Tentacool (Z),Water,Poison,40,40,35,50,100,70,176,239,262,,
,tentacruel,tentacruel,73,,10,,,Tentacruel (Z),Water,Poison,80,70,65,80,120,100,236,299,328,,
,geodude,geodude,74,,1,,,Geodude (Z),Rock,Ground,40,80,100,30,30,20,76,139,152,,
,geodude-alola,geodude-alola,0074/0001,,1,,,Alolan Geodude (Z),Rock,Electric,40,80,100,30,30,20,76,139,152,,
,graveler,graveler,75,,1,,,Graveler (Z),Rock,Ground,55,95,115,45,45,35,106,169,185,,
,graveler-alola,graveler-alola,0075/0001,,1,,,Alolan Graveler (Z),Rock,Electric,55,95,115,45,45,35,106,169,185,,
,golem,golem,76,,1,,,Golem (Z),Rock,Ground,80,120,130,55,65,45,126,189,207,,
,golem-alola,golem-alola,0076/0001,,2,,,Alolan Golem (Z),Rock,Electric,80,120,130,55,65,45,126,189,207,,
,ponyta,ponyta,77,,1,,,Ponyta (Z),Fire,-,50,85,55,65,65,90,216,279,306,,
,ponyta-galar,ponyta-galar,0077/0001,,0,,,Galarian Ponyta (Z),Psychic,-,50,85,55,65,65,90,216,279,306,,
,rapidash,rapidash,78,,1,,,Rapidash (Z),Fire,-,65,100,70,80,80,105,246,309,339,,
,rapidash-galar,rapidash-galar,0078/0001,,0,,,Galarian Rapidash (Z),Psychic,Fairy,65,100,70,80,80,105,246,309,339,,
,slowpoke,slowpoke,79,,1,,,Slowpoke (Z),Water,Psychic,90,65,65,40,40,15,66,129,141,,
,slowpoke-galar,slowpoke-galar,0079/0001,,0,,,Galarian Slowpoke (Z),Psychic,-,90,65,65,40,40,15,66,129,141,,
,slowbro,slowbro,80,,16,,,Slowbro (Z),Water,Psychic,95,75,110,100,80,30,96,159,174,,
,slowbro-galar,slowbro-galar,0080/0001,,0,,,Galarian Slowbro (Z),Poison,Psychic,95,100,95,100,70,30,96,159,174,,
,slowbro-mega,slowbro-mega,0080/0002,,10,,,Mega Slowbro (Z),Water,Psychic,95,75,180,130,80,30,96,159,174,,
,magnemite,magnemite,81,,1,,,Magnemite (Z),Electric,Steel,25,35,70,95,55,45,126,189,207,,
,magneton,magneton,82,,3,,,Magneton (Z),Electric,Steel,50,60,95,120,70,70,176,239,262,,
,farfetchd,farfetchd,83,,1,,,Farfetch'd (Z),Normal,Flying,52,90,55,58,62,60,156,219,240,,
,farfetchd-galar,farfetchd-galar,0083/0001,,0,,,Galarian Farfetch'd (Z),Fighting,-,52,95,55,58,62,55,146,209,229,,
,doduo,doduo,84,,1,,,Doduo (Z),Normal,Flying,35,85,45,35,35,75,186,249,273,,
,dodrio,dodrio,85,,2,,,Dodrio (Z),Normal,Flying,60,110,70,60,60,110,256,319,350,,
,seel,seel,86,,1,,,Seel (Z),Water,-,65,45,55,45,70,45,126,189,207,,
,dewgong,dewgong,87,,1,,,Dewgong (Z),Water,Ice,90,70,80,70,95,70,176,239,262,,
,grimer,grimer,88,,1,,,Grimer (Z),Poison,-,80,80,50,40,50,25,86,149,163,,
,grimer-alola,grimer-alola,0088/0001,,1,,,Alolan Grimer (Z),Poison,Dark,80,80,50,40,50,25,86,149,163,,
,muk,muk,89,,2,,,Muk (Z),Poison,-,105,105,75,65,100,50,136,199,218,,
,muk-alola,muk-alola,0089/0001,,12,,,Alolan Muk (Z),Poison,Dark,105,105,75,65,100,50,136,199,218,,
,shellder,shellder,90,,1,,,Shellder (Z),Water,-,30,65,100,45,25,40,116,179,196,,
,cloyster,cloyster,91,,7,,,Cloyster (Z),Water,Ice,50,95,180,85,45,70,176,239,262,,
,gastly,gastly,92,,1,,,Gastly (Z),Ghost,Poison,30,35,30,100,35,80,196,259,284,,
,haunter,haunter,93,,1,,,Haunter (Z),Ghost,Poison,45,50,45,115,55,95,226,289,317,,
,gengar,gengar,94,,13,,,Gengar (Z),Ghost,Poison,60,65,60,130,75,110,256,319,350,,
,gengar-mega,gengar-mega,0094/0001,,99,,,Mega Gengar (Z),Ghost,Poison,60,65,80,170,95,130,296,359,394,,
,onix,onix,95,,1,,,Onix (Z),Rock,Ground,35,45,160,30,45,70,176,239,262,,
,drowzee,drowzee,96,,1,,,Drowzee (Z),Psychic,-,60,48,45,43,90,42,120,183,201,,
,hypno,hypno,97,,1,,,Hypno (Z),Psychic,-,85,73,70,73,115,67,170,233,256,,
,krabby,krabby,98,,1,,,Krabby (Z),Water,-,30,105,90,25,25,50,136,199,218,,
,kingler,kingler,99,,1,,,Kingler (Z),Water,-,55,130,115,50,50,75,186,249,273,,
,voltorb,voltorb,100,,1,,,Voltorb (Z),Electric,-,40,30,50,55,55,100,236,299,328,,
,voltorb-hisui,voltorb-hisui,0100/0001,,0,,,Hisuian Voltorb (Z),Electric,Grass,40,30,50,55,55,100,236,299,328,,
,electrode,electrode,101,,2,,,Electrode (Z),Electric,-,60,50,70,80,80,150,336,399,438,,
,electrode-hisui,electrode-hisui,0101/0001,,0,,,Hisuian Electrode (Z),Electric,Grass,60,50,70,80,80,150,336,399,438,,
,exeggcute,exeggcute,102,,1,,,Exeggcute (Z),Grass,Psychic,60,40,80,60,45,40,116,179,196,,
,exeggutor,exeggutor,103,,1,,,Exeggutor (Z),Grass,Psychic,95,95,85,125,75,55,146,209,229,,
,exeggutor-alola,exeggutor-alola,0103/0001,,3,,,Alolan Exeggutor (Z),Grass,Dragon,95,105,85,125,75,45,126,189,207,,
,cubone,cubone,104,,1,,,Cubone (Z),Ground,-,50,50,95,40,50,35,106,169,185,,
,marowak,marowak,105,,1,,,Marowak (Z),Ground,-,60,80,110,50,80,45,126,189,207,,
,marowak-alola,marowak-alola,0105/0001,,4,,,Alolan Marowak (Z),Fire,Ghost,60,80,110,50,80,45,126,189,207,,
,hitmonlee,hitmonlee,106,,5,,,Hitmonlee (Z),Fighting,-,50,120,53,35,110,87,210,273,300,,
,hitmonchan,hitmonchan,107,,1,,,Hitmonchan (Z),Fighting,-,50,105,79,35,110,76,188,251,276,,
,lickitung,lickitung,108,,1,,,Lickitung (Z),Normal,-,90,55,75,60,75,30,96,159,174,,
,koffing,koffing,109,,1,,,Koffing (Z),Poison,-,40,65,95,60,45,35,106,169,185,,
,weezing,weezing,110,,4,,,Weezing (Z),Poison,-,65,90,120,85,70,60,156,219,240,,
,weezing-galar,weezing-galar,0110/0001,,0,,,Galarian Weezing (Z),Poison,Fairy,65,90,120,85,70,60,156,219,240,,
,rhyhorn,rhyhorn,111,,1,,,Rhyhorn (Z),Ground,Rock,80,85,95,30,30,25,86,149,163,,
,rhydon,rhydon,112,,2,,,Rhydon (Z),Ground,Rock,105,130,120,45,45,40,116,179,196,,
,chansey,chansey,113,,4,,,Chansey (Z),Normal,-,250,5,5,35,105,50,136,199,218,,
,tangela,tangela,114,,5,,,Tangela (Z),Grass,-,65,55,115,100,40,60,156,219,240,,
,kangaskhan,kangaskhan,115,,2,,,Kangaskhan (Z),Normal,-,105,95,80,40,80,90,216,279,306,,
,kangaskhan-mega,kangaskhan-mega,0115/0001,,11,,,Mega Kangaskhan (Z),Normal,-,105,125,100,60,100,100,236,299,328,,
,horsea,horsea,116,,1,,,Horsea (Z),Water,-,30,40,70,70,25,60,156,219,240,,
,seadra,seadra,117,,1,,,Seadra (Z),Water,-,55,65,95,95,45,85,206,269,295,,
,goldeen,goldeen,118,,1,,,Goldeen (Z),Water,-,45,67,60,35,50,63,162,225,247,,
,seaking,seaking,119,,1,,,Seaking (Z),Water,-,80,92,65,65,80,68,172,235,258,,
,staryu,staryu,120,,1,,,Staryu (Z),Water,-,30,45,55,70,55,85,206,269,295,,
,starmie,starmie,121,,12,,,Starmie (Z),Water,Psychic,60,75,85,100,85,115,266,329,361,,
,mr-mime,mrmime,122,,1,,,Mr. Mime (Z),Psychic,Fairy,40,45,65,100,120,90,216,279,306,,
,mr-mime-galar,mrmime-galar,0122/0001,,0,,,Galarian Mr. Mime (Z),Ice,Psychic,50,65,65,90,90,100,236,299,328,,
,scyther,scyther,123,,1,,,Scyther (Z),Bug,Flying,70,110,80,55,80,105,246,309,339,,
,jynx,jynx,124,,1,,,Jynx (Z),Ice,Psychic,65,50,35,115,95,95,226,289,317,,
,electabuzz,electabuzz,125,,1,,,Electabuzz (Z),Electric,-,65,83,57,95,85,105,246,309,339,,
,magmar,magmar,126,,1,,,Magmar (Z),Fire,-,65,95,57,100,85,93,222,285,313,,
,pinsir,pinsir,127,,1,,,Pinsir (Z),Bug,-,65,125,100,55,70,85,206,269,295,,
,pinsir-mega,pinsir-mega,0127/0001,,13,,,Mega Pinsir (Z),Bug,Flying,65,155,120,65,90,105,246,309,339,,
,tauros,tauros,128,,3,,,Tauros (Z),Normal,-,75,100,95,40,70,110,256,319,350,,
,tauros-paldea,tauros-paldea,0128/0001,,0,,,Paldean Tauros (Z),Fighting,-,75,110,105,30,70,100,236,299,328,,
,tauros-paldea-fire,tauros-paldeafire,0128/0001,,0,,,Paldean Tauros Blaze (Z),Fighting,Fire,75,110,105,30,70,100,236,299,328,,
,tauros-paldea-water,tauros-paldeawater,0128/0001,,0,,,Paldean Tauros Aqua (Z),Fighting,Water,75,110,105,30,70,100,236,299,328,,
,magikarp,magikarp,129,,1,,,Magikarp (Z),Water,-,20,10,55,15,20,80,196,259,284,,
,gyarados,gyarados,130,,9,,,Gyarados (Z),Water,Flying,95,125,79,60,100,81,198,261,287,,
,gyarados-mega,gyarados-mega,0130/0001,,12,,,Mega Gyarados (Z),Water,Dark,95,155,109,70,130,81,198,261,287,,
,lapras,lapras,131,,1,,,Lapras (Z),Water,Ice,130,85,80,85,95,60,156,219,240,,
,ditto,ditto,132,,4,,,Ditto (Z),Normal,-,48,48,48,48,48,48,132,195,214,,
,eevee,eevee,133,,1,,,Eevee (Z),Normal,-,55,55,50,45,65,55,146,209,229,,
,eevee-starter,eevee-starter,133,,0,,,Eevee-Starter (Z),Normal,-,65,75,70,65,85,75,186,249,273,,
,vaporeon,vaporeon,134,,8,,,Vaporeon (Z),Water,-,130,65,60,110,95,65,166,229,251,,
,jolteon,jolteon,135,,7,,,Jolteon (Z),Electric,-,65,65,60,110,95,130,296,359,394,,
,flareon,flareon,136,,1,,,Flareon (Z),Fire,-,65,130,60,95,110,65,166,229,251,,
,porygon,porygon,137,,1,,,Porygon (Z),Normal,-,65,60,70,85,75,40,116,179,196,,
,omanyte,omanyte,138,,1,,,Omanyte (Z),Rock,Water,35,40,100,90,55,35,106,169,185,,
,omastar,omastar,139,,3,,,Omastar (Z),Rock,Water,70,60,125,115,70,55,146,209,229,,
,kabuto,kabuto,140,,1,,,Kabuto (Z),Rock,Water,30,80,90,55,45,55,146,209,229,,
,kabutops,kabutops,141,,4,,,Kabutops (Z),Rock,Water,60,115,105,65,70,80,196,259,284,,
,aerodactyl,aerodactyl,142,,4,,,Aerodactyl (Z),Rock,Flying,80,105,65,60,75,130,296,359,394,,
,aerodactyl-mega,aerodactyl-mega,0142/0001,,15,,,Mega Aerodactyl (Z),Rock,Flying,80,135,85,70,95,150,336,399,438,,
,snorlax,snorlax,143,,13,,,Snorlax (Z),Normal,-,160,110,65,65,110,30,96,159,174,,
,articuno,articuno,144,,1,,,Articuno (Z),Ice,Flying,90,85,100,95,125,85,206,269,295,,
,articuno-galar,articuno-galar,0144/0001,,0,,,Galarian Articuno (Z),Psychic,Flying,90,85,85,125,100,95,226,289,317,,
,zapdos,zapdos,145,,16,,,Zapdos (Z),Electric,Flying,90,90,85,125,90,100,236,299,328,,
,zapdos-galar,zapdos-galar,0145/0001,,0,,,Galarian Zapdos (Z),Fighting,Flying,90,125,90,85,90,100,236,299,328,,
,moltres,moltres,146,,3,,,Moltres (Z),Fire,Flying,90,100,90,125,85,90,216,279,306,,
,moltres-galar,moltres-galar,0146/0001,,0,,,Galarian Moltres (Z),Dark,Flying,90,85,90,100,125,90,216,279,306,,
,dratini,dratini,147,,1,,,Dratini (Z),Dragon,-,41,64,45,50,50,50,136,199,218,,
,dragonair,dragonair,148,,1,,,Dragonair (Z),Dragon,-,61,84,65,70,70,70,176,239,262,,
,dragonite,dragonite,149,,16,,,Dragonite (Z),Dragon,Flying,91,134,95,100,100,80,196,259,284,,
,mewtwo,mewtwo,150,,99,,,Mewtwo (Z),Psychic,-,106,110,90,154,90,130,296,359,394,,
,mewtwo-mega-x,mewtwo-megax,0150/0001,,99,,,Mega Mewtwo X (Z),Psychic,Fighting,106,190,100,154,100,130,296,359,394,,
,mewtwo-mega-y,mewtwo-megay,0150/0002,,99,,,Mega Mewtwo Y (Z),Psychic,-,106,150,70,194,120,140,316,379,416,,
,mew,mew,151,,19,,,Mew (Z),Psychic,-,100,100,100,100,100,100,236,299,328,,
,chikorita,chikorita,152,,1,,,Chikorita (Z),Grass,-,45,49,65,49,65,45,126,189,207,,
,bayleef,bayleef,153,,1,,,Bayleef (Z),Grass,-,60,62,80,63,80,60,156,219,240,,
,meganium,meganium,154,,1,,,Meganium (Z),Grass,-,80,82,100,83,100,80,196,259,284,,
,cyndaquil,cyndaquil,155,,1,,,Cyndaquil (Z),Fire,-,39,52,43,60,50,65,166,229,251,,
,quilava,quilava,156,,1,,,Quilava (Z),Fire,-,58,64,58,80,65,80,196,259,284,,
,typhlosion,typhlosion,157,,1,,,Typhlosion (Z),Fire,-,78,84,78,109,85,100,236,299,328,,
,typhlosion-hisui,typhlosion-hisui,0157/0001,,0,,,Hisuian Typhlosion (Z),Fire,Ghost,73,84,78,119,85,95,226,289,317,,
,totodile,totodile,158,,1,,,Totodile (Z),Water,-,50,65,64,44,48,43,122,185,203,,
,croconaw,croconaw,159,,1,,,Croconaw (Z),Water,-,65,80,80,59,63,58,152,215,236,,
,feraligatr,feraligatr,160,,4,,,Feraligatr (Z),Water,-,85,105,100,79,83,78,192,255,280,,
,sentret,sentret,161,,1,,,Sentret (Z),Normal,-,35,46,34,35,45,20,76,139,152,,
,furret,furret,162,,1,,,Furret (Z),Normal,-,85,76,64,45,55,90,216,279,306,,
,hoothoot,hoothoot,163,,1,,,Hoothoot (Z),Normal,Flying,60,30,30,36,56,50,136,199,218,,
,noctowl,noctowl,164,,1,,,Noctowl (Z),Normal,Flying,100,50,50,86,96,70,176,239,262,,
,ledyba,ledyba,165,,1,,,Ledyba (Z),Bug,Flying,40,20,30,40,80,55,146,209,229,,
,ledian,ledian,166,,1,,,Ledian (Z),Bug,Flying,55,35,50,55,110,85,206,269,295,,
,spinarak,spinarak,167,,1,,,Spinarak (Z),Bug,Poison,40,60,40,40,40,30,96,159,174,,
